------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <../rn/1.dat>
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
------------------------------------------------------------------------------
  9  10   7   9  12  13  13  11   5  11  0.739918    100/100     NonOverlappingTemplate
 11  12   8   9  10  11   9   5  11  14  0.798139     98/100     NonOverlappingTemplate
  7   9   8  13  11   4   9   9  15  15  0.262249     99/100     NonOverlappingTemplate
 12  12   7  10  10   8   8   9  14  10  0.897763     98/100     NonOverlappingTemplate
 11   6  10  11  11  11  10  10  10  10  0.991468     99/100     NonOverlappingTemplate
 10  10   7  12  19   6   9   9  13   5  0.102526     99/100     NonOverlappingTemplate
  7  11  12  10  13  13   7   9   8  10  0.867692     99/100     NonOverlappingTemplate
  8   9  12   9  10  12   8  15  12   5  0.616305    100/100     NonOverlappingTemplate
  9  11   9  14   5   7   8  12  12  13  0.595549     99/100     NonOverlappingTemplate
 13  14  12  12  12   5   3   9  10  10  0.262249     99/100     NonOverlappingTemplate
  6   9  11   6   7  16  13   7  14  11  0.249284     98/100     NonOverlappingTemplate
 11  16  10  10   5  13   7  12   6  10  0.350485     98/100     NonOverlappingTemplate
  9   7  10   6   7  11  12  14  14  10  0.616305     98/100     NonOverlappingTemplate
  8   9  12  12   8   9   8   9  13  12  0.935716    100/100     NonOverlappingTemplate
  6  11  13   8  19  10  10   6   8   9  0.153763     99/100     NonOverlappingTemplate
 12  12  10   8   7  12   8   8  15   8  0.719747     95/100  *  NonOverlappingTemplate
 13   8  13   5  12  12  11   4  12  10  0.383827     99/100     NonOverlappingTemplate
 11   8  10   9   7  12  10   9  11  13  0.964295    100/100     NonOverlappingTemplate
 13   5  11   7   8   8  17   7  14  10  0.181557     97/100     NonOverlappingTemplate
 10   9   5   7  17  12   9  10  13   8  0.334538    100/100     NonOverlappingTemplate
  7  17  16  10   9   8   8   7  10   8  0.236810     98/100     NonOverlappingTemplate
  9  10  11   8  10  11  10   8  11  12  0.996335    100/100     NonOverlappingTemplate
 10   9   8  12  14   5   8  11  10  13  0.699313    100/100     NonOverlappingTemplate
  4  13  14   9  15  12  12   3  11   7  0.080519    100/100     NonOverlappingTemplate
 10  12  12   8  10  11   7   8  10  12  0.964295     99/100     NonOverlappingTemplate
  6   5  12   9  13  14   9  16   6  10  0.191687    100/100     NonOverlappingTemplate
 15   9   8   6  13  10   6   9  16   8  0.262249    100/100     NonOverlappingTemplate
  7  11  14   8  13  12   9   8   8  10  0.816537    100/100     NonOverlappingTemplate
 11   6  11  12   8  10  10  11  11  10  0.971699    100/100     NonOverlappingTemplate
 12   4  12  12   8  11   6  12   8  15  0.334538     98/100     NonOverlappingTemplate
 15  14  15  14   7   7  12   5   6   5  0.048716     99/100     NonOverlappingTemplate
  4   9   5  12  15  10  12  14  11   8  0.236810    100/100     NonOverlappingTemplate
 13   9   6   6   9  10  15  10  11  11  0.637119     99/100     NonOverlappingTemplate
 13   9  11   7  17  11   7  12   6   7  0.289667     97/100     OverlappingTemplate
  0   0   0   0 100   0   0   0   0   0  0.000000 *  100/100     Universal
 10  19  14  12   8  10   5   7   5  10  0.058984    100/100     ApproximateEntropy
  2   3   1   1   0   1   1   3   0   0  0.213309     12/12      RandomExcursions
  0   1   3   2   1   2   0   1   2   0  0.350485     12/12      RandomExcursions
  1   1   0   3   3   1   0   1   1   1  0.350485     12/12      RandomExcursions
  3   0   1   0   1   1   1   2   1   2  0.534146     11/12      RandomExcursions
  2   1   1   2   2   0   0   1   1   2  0.739918     12/12      RandomExcursions
  0   2   1   2   1   1   1   1   3   0  0.534146     12/12      RandomExcursions
  2   2   1   0   0   2   0   1   1   3  0.350485     12/12      RandomExcursions
  0   1   1   2   2   1   2   1   1   1  0.911413     12/12      RandomExcursions
  1   2   4   0   0   0   0   2   3   0  0.017912     12/12      RandomExcursionsVariant
  1   3   2   0   2   0   1   0   1   2  0.350485     12/12      RandomExcursionsVariant
  1   3   2   1   0   1   0   3   1   0  0.213309     12/12      RandomExcursionsVariant
  1   2   2   0   2   1   2   2   0   0  0.534146     12/12      RandomExcursionsVariant
  1   1   1   2   1   1   1   1   2   1  0.991468     12/12      RandomExcursionsVariant
  0   3   1   0   0   0   3   2   1   2  0.122325     12/12      RandomExcursionsVariant
  1   2   0   1   2   2   2   1   1   0  0.739918     12/12      RandomExcursionsVariant
  1   1   2   2   2   0   0   1   1   2  0.739918     12/12      RandomExcursionsVariant
  1   1   0   2   2   1   0   2   1   2  0.739918     12/12      RandomExcursionsVariant
  1   2   1   0   2   1   0   1   2   2  0.739918     12/12      RandomExcursionsVariant
  0   2   0   0   2   2   3   0   1   2  0.213309     12/12      RandomExcursionsVariant
  0   1   0   2   1   2   0   2   0   4  0.066882     12/12      RandomExcursionsVariant
  0   0   1   1   1   3   3   1   2   0  0.213309     12/12      RandomExcursionsVariant
  0   1   0   3   3   2   1   1   0   1  0.213309     12/12      RandomExcursionsVariant
  0   0   3   1   3   1   1   1   2   0  0.213309     12/12      RandomExcursionsVariant
  0   1   1   4   0   2   1   1   2   0  0.122325     12/12      RandomExcursionsVariant
  0   0   3   1   0   3   1   3   1   0  0.066882     12/12      RandomExcursionsVariant
  0   0   2   2   0   2   0   3   2   1  0.213309     12/12      RandomExcursionsVariant
  3  13   6   8  10  10  11  10  17  12  0.153763    100/100     Serial
  4   7   8   9  13  13   8  12  11  15  0.334538     99/100     Serial
 10  12  10  15   7   7  13   9   7  10  0.678686     99/100     LinearComplexity


- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
The minimum pass rate for each statistical test with the exception of the
random excursion (variant) test is approximately = 96 for a
sample size = 100 binary sequences.

The minimum pass rate for the random excursion (variant) test
is approximately = 10 for a sample size = 12 binary sequences.

For further guidelines construct a probability table using the MAPLE program
provided in the addendum section of the documentation.
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
